inspection_id,lon,lat,census_block_2010
133,-77.00295658,38.90418575,110010106002011
134,-77.00295658,38.90418575,110010106002011
135,-76.98963205,38.91320313,110010088031005
136,-76.98963205,38.91320313,110010088031005
137,-76.98963205,38.91320313,110010088031005
138,-76.98963205,38.91320313,110010088031005
139,-76.98963205,38.91320313,110010088031005
140,-76.98963205,38.91320313,110010088031005
141,-76.99098473,38.89991034,110010084021004
142,-76.99098473,38.89991034,110010084021004
143,-76.99098473,38.89991034,110010084021004
144,-76.99098473,38.89991034,110010084021004
145,-76.99084368,38.90041831,110010084101015
146,-76.99084368,38.90041831,110010084101015
147,-76.99084368,38.90041831,110010084101015
148,-76.99560865,38.90043228,110010106003005
149,-76.99560865,38.90043228,110010106003005
150,-76.99068361,38.90000698,110010084021004
151,-76.99068361,38.90000698,110010084021004
152,-76.99065831,38.9003901,110010084101015
153,-76.99065831,38.9003901,110010084101015
154,-76.99046152,38.90039216,110010084101015
155,-77.00824428,38.90507299,110010106002022
156,-76.99035441,38.90303925,110010088023005
157,-76.99035441,38.90303925,110010088023005
158,-76.99029009,38.90293844,110010088023005
159,-76.99047922,38.94401606,110010095042001
160,-76.99047922,38.94401606,110010095042001
161,-76.99047922,38.94401606,110010095042001
162,-76.97988474,38.90513002,110010089031004
163,-76.96341022,38.92717536,110010111001007
164,-76.98042207,38.90527388,110010088042015
165,-76.98042207,38.90527388,110010088042015
166,-76.96341022,38.92717536,110010111001007
167,-76.98992107,38.90040733,110010084101020
168,-76.98992107,38.90040733,110010084101020
169,-76.98992107,38.90040733,110010084101020
170,-76.98992107,38.90040733,110010084101020
171,-76.98992107,38.90040733,110010084101020
172,-76.98992107,38.90040733,110010084101020
173,-76.98978591,38.89997402,110010084021003
174,-76.98967935,38.92017378,110010091022006
175,-76.98967935,38.92017378,110010091022006
176,-76.98967935,38.92017378,110010091022006
177,-76.98974123,38.90041894,110010084101020
178,-76.98974123,38.90041894,110010084101020
179,-76.98974123,38.90041894,110010084101020
180,-76.98974123,38.90041894,110010084101020
181,-76.98958975,38.92017071,110010091022006
182,-76.98958975,38.92017071,110010091022006
183,-76.98968094,38.90038461,110010084101020
184,-76.98968094,38.90038461,110010084101020
185,-76.98968094,38.90038461,110010084101020
186,-76.98968094,38.90038461,110010084101020
187,-77.02877258,38.90013722,110010058001007
188,-77.02877258,38.90013722,110010058001007
189,-76.98950361,38.92016178,110010091022006
190,-76.98950361,38.92016178,110010091022006
191,-76.98950361,38.92016178,110010091022006
192,-77.00633234,38.90672534,110010106002023
193,-76.98931031,38.90041323,110010084101020
194,-76.98931031,38.90041323,110010084101020
195,-76.98931031,38.90041323,110010084101020
196,-76.98931031,38.90041323,110010084101020
197,-76.98931031,38.90041323,110010084101020
198,-76.98931031,38.90041323,110010084101020
199,-76.98931031,38.90041323,110010084101020
200,-77.00025664,38.90631626,110010106002000
201,-77.00025664,38.90631626,110010106002000
202,-77.00025664,38.90631626,110010106002000
203,-76.98922177,38.90040511,110010084101020
204,-76.98922177,38.90040511,110010084101020
205,-76.98922177,38.90040511,110010084101020
206,-76.98903513,38.90041707,110010084101020
207,-76.98903513,38.90041707,110010084101020
208,-76.98898175,38.90040437,110010084101020
209,-77.00178676,38.90004112,110010083011002
210,-77.00178676,38.90004112,110010083011002
211,-76.98898175,38.90040437,110010084101020
212,-76.98898175,38.90040437,110010084101020
213,-76.9889293,38.90038211,110010084101020
214,-76.9889293,38.90038211,110010084101020
215,-76.98829835,38.91942911,110010091022006
216,-76.98793639,38.91934142,110010091022006
217,-77.02910586,38.89956024,110010058001010
218,-77.02910586,38.89956024,110010058001010
219,-76.98857573,38.90039036,110010084101020
220,-76.99964651,38.9079274,110010088031024
221,-76.99964651,38.9079274,110010088031024
222,-76.97852768,38.906976040000004,110010089031002
223,-76.97852768,38.906976040000004,110010089031002
224,-76.97852768,38.906976040000004,110010089031002
225,-76.97852768,38.906976040000004,110010089031002
226,-76.97852768,38.906976040000004,110010089031002
227,-76.97852768,38.906976040000004,110010089031002
228,-76.97852768,38.906976040000004,110010089031002
229,-76.97852768,38.906976040000004,110010089031002
230,-76.97852768,38.906976040000004,110010089031002
231,-76.97852768,38.906976040000004,110010089031002
232,-76.9979052,38.90039343,110010106003006
233,-76.98862421,38.89999589,110010084021003
234,-76.9979052,38.90039343,110010106003006
